vin ,v("/vin" ?result "dc")/i("/M6/D" ?result "dc")
0.000,0.000
10.00E-3,217.2E6
20.00E-3,253.2E6
30.00E-3,289.1E6
40.00E-3,328.0E6
50.00E-3,370.9E6
60.00E-3,418.5E6
70.00E-3,471.4E6
80.00E-3,528.9E6
90.00E-3,589.5E6
100.0E-3,651.8E6
110.0E-3,715.0E6
120.0E-3,778.7E6
130.0E-3,842.6E6
140.0E-3,906.6E6
150.0E-3,970.7E6
160.0E-3,1.035E9
170.0E-3,1.099E9
180.0E-3,1.163E9
190.0E-3,1.227E9
200.0E-3,1.291E9
210.0E-3,1.355E9
220.0E-3,1.419E9
230.0E-3,1.483E9
240.0E-3,1.547E9
250.0E-3,1.611E9
260.0E-3,1.675E9
270.0E-3,1.739E9
280.0E-3,1.802E9
290.0E-3,1.866E9
300.0E-3,1.930E9
310.0E-3,1.994E9
320.0E-3,2.057E9
330.0E-3,2.121E9
340.0E-3,2.184E9
350.0E-3,2.248E9
360.0E-3,2.311E9
370.0E-3,2.375E9
380.0E-3,2.438E9
390.0E-3,2.502E9
400.0E-3,2.565E9
410.0E-3,2.628E9
420.0E-3,2.692E9
430.0E-3,2.755E9
440.0E-3,2.818E9
450.0E-3,2.881E9
460.0E-3,2.944E9
470.0E-3,3.008E9
480.0E-3,3.071E9
490.0E-3,3.134E9
500.0E-3,3.197E9
510.0E-3,3.260E9
520.0E-3,3.322E9
530.0E-3,3.385E9
540.0E-3,3.448E9
550.0E-3,3.511E9
560.0E-3,3.574E9
570.0E-3,3.637E9
580.0E-3,3.699E9
590.0E-3,3.762E9
600.0E-3,3.825E9
610.0E-3,3.888E9
620.0E-3,3.952E9
630.0E-3,4.016E9
640.0E-3,4.080E9
650.0E-3,4.143E9
660.0E-3,4.207E9
670.0E-3,4.271E9
680.0E-3,4.335E9
690.0E-3,4.398E9
700.0E-3,4.462E9
710.0E-3,4.526E9
720.0E-3,4.590E9
730.0E-3,4.653E9
740.0E-3,4.717E9
750.0E-3,4.781E9
760.0E-3,4.844E9
770.0E-3,4.908E9
780.0E-3,4.972E9
790.0E-3,5.036E9
800.0E-3,5.099E9
810.0E-3,5.163E9
820.0E-3,5.227E9
830.0E-3,5.291E9
840.0E-3,5.354E9
850.0E-3,5.418E9
860.0E-3,5.482E9
870.0E-3,5.546E9
880.0E-3,5.609E9
890.0E-3,5.673E9
900.0E-3,5.737E9
910.0E-3,5.801E9
920.0E-3,5.864E9
930.0E-3,5.928E9
940.0E-3,5.992E9
950.0E-3,6.056E9
960.0E-3,6.119E9
970.0E-3,6.183E9
980.0E-3,6.247E9
990.0E-3,6.311E9
1.000,6.374E9
