Values ,histogram2D(_statGetWaveform( "VREFH_cross_LtoH" nil ?resDbFile axlGetHistoryResults(axlGetCurrentHistory(_vivaGetSessionName())) ?testName "spike_enc:tb_lcadc:1" ?filtPointsList "" ) 10 "standard" "stddev" t)
-7.057E-3,1
-5.146E-3,5
-4.796E-3,8
-4.685E-3,6
-4.661E-3,2
-4.354E-3,3
-4.112E-3,7
-3.992E-3,4
-3.980E-3,1
-3.696E-3,11
-3.485E-3,7
-3.412E-3,9
-3.319E-3,12
-3.129E-3,5
-3.121E-3,1
-2.891E-3,3
-2.873E-3,2
-2.706E-3,4
-2.679E-3,10
-2.611E-3,14
-2.436E-3,6
-2.379E-3,8
-2.235E-3,13
-2.164E-3,4
-2.156E-3,7
-2.114E-3,6
-1.851E-3,11
-1.602E-3,14
-1.497E-3,8
-1.391E-3,1
-1.303E-3,3
-1.239E-3,16
-1.179E-3,2
-1.164E-3,13
-1.161E-3,12
-1.096E-3,5
-1.060E-3,10
-1.056E-3,18
-1.015E-3,23
-1.003E-3,19
-973.5E-6,15
-966.2E-6,21
-903.5E-6,20
-789.6E-6,22
-617.9E-6,17
-604.6E-6,9
-405.0E-6,11
-320.0E-6,29
-295.5E-6,10
-235.8E-6,19
-233.0E-6,18
-182.3E-6,15
-173.9E-6,7
-168.1E-6,28
-38.89E-6,24
77.90E-6,4
78.53E-6,5
97.70E-6,1
102.6E-6,9
120.3E-6,27
120.9E-6,3
143.9E-6,12
170.7E-6,21
184.8E-6,20
314.3E-6,22
473.9E-6,17
492.6E-6,6
544.2E-6,23
637.7E-6,8
651.1E-6,26
676.2E-6,25
748.1E-6,13
829.3E-6,16
920.6E-6,2
920.8E-6,14
1.102E-3,23
1.155E-3,32
1.197E-3,26
1.245E-3,11
1.262E-3,9
1.321E-3,28
1.380E-3,34
1.443E-3,25
1.464E-3,14
1.508E-3,22
1.640E-3,33
1.640E-3,5
1.660E-3,21
1.671E-3,18
1.717E-3,19
1.722E-3,1
1.775E-3,8
1.836E-3,27
1.926E-3,30
2.035E-3,29
2.062E-3,35
2.095E-3,10
2.153E-3,3
2.179E-3,20
2.194E-3,2
2.303E-3,15
2.340E-3,24
2.363E-3,17
2.458E-3,4
2.492E-3,6
2.552E-3,31
2.609E-3,7
2.614E-3,12
2.648E-3,16
2.688E-3,13
2.720E-3,11
2.741E-3,31
2.805E-3,4
2.848E-3,1
2.998E-3,10
3.003E-3,9
3.053E-3,16
3.122E-3,3
3.130E-3,22
3.254E-3,2
3.281E-3,30
3.302E-3,19
3.319E-3,5
3.332E-3,7
3.388E-3,14
3.535E-3,20
3.572E-3,21
3.583E-3,15
3.715E-3,28
3.726E-3,17
3.800E-3,29
3.840E-3,26
3.883E-3,27
3.903E-3,12
3.950E-3,6
4.041E-3,24
4.078E-3,23
4.106E-3,13
4.119E-3,25
4.168E-3,8
4.323E-3,18
4.462E-3,6
4.481E-3,15
4.496E-3,17
4.533E-3,7
4.547E-3,19
4.576E-3,22
4.616E-3,9
4.639E-3,13
4.686E-3,4
4.771E-3,8
4.953E-3,20
4.987E-3,18
5.058E-3,24
5.247E-3,23
5.284E-3,10
5.291E-3,12
5.351E-3,2
5.422E-3,1
5.451E-3,11
5.485E-3,14
5.512E-3,3
5.515E-3,21
5.560E-3,5
5.800E-3,16
5.814E-3,25
6.150E-3,11
6.290E-3,8
6.293E-3,5
6.502E-3,6
6.625E-3,15
6.640E-3,19
6.692E-3,3
6.782E-3,13
6.786E-3,18
6.794E-3,17
6.856E-3,7
6.888E-3,12
6.896E-3,9
6.949E-3,1
6.950E-3,14
6.985E-3,10
7.066E-3,2
7.125E-3,16
7.259E-3,20
7.526E-3,4
7.617E-3,12
7.715E-3,6
7.932E-3,8
8.080E-3,1
8.155E-3,3
8.289E-3,14
8.404E-3,2
8.445E-3,11
8.638E-3,9
8.740E-3,10
8.945E-3,5
9.085E-3,4
9.096E-3,13
9.209E-3,7
